Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
JNJ,Johnson & Johnson,133,$356.7B,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/jnj
JNPR,"Juniper Networks, Inc.",26.12,$9.04B,1999,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/jnpr
JOE,St. Joe Company (The),15.49,$939.81M,n/a,Consumer Services,Homebuilding,https://www.nasdaq.com/symbol/joe
JOF,Japan Smaller Capitalization Fund Inc,8.8646,$251.17M,1990,n/a,n/a,https://www.nasdaq.com/symbol/jof
JP,Jupai Holdings Limited,4.05,$133.75M,2015,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/jp
JPC,Nuveen Preferred & Income Opportunities Fund,9.16,$946.53M,2003,n/a,n/a,https://www.nasdaq.com/symbol/jpc
JPI,Nuveen Preferred and Income Term Fund,22.11,$503.16M,2012,n/a,n/a,https://www.nasdaq.com/symbol/jpi
JPM,J P Morgan Chase & Co,103.74,$339.83B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/jpm
JPM^A,J P Morgan Chase & Co,24.9362,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/jpm^a
JPM^B.CL,J P Morgan Chase & Co,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/jpm^b.cl
JPM^C,J P Morgan Chase & Co,25.67,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/jpm^c
JPM^D,J P Morgan Chase & Co,25.02,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/jpm^d
JPM^E,J P Morgan Chase & Co,25.65,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/jpm^e
JPM^F,J P Morgan Chase & Co,25.64,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/jpm^f
JPM^G,J P Morgan Chase & Co,25.6,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/jpm^g
JPM^H,J P Morgan Chase & Co,25.71,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/jpm^h
JPS,Nuveen Preferred & Income Securities Fund,8.87,$1.81B,2002,n/a,n/a,https://www.nasdaq.com/symbol/jps
JPT,Nuveen Preferred and Income 2022 Term Fund,22.89,$156.37M,2017,n/a,n/a,https://www.nasdaq.com/symbol/jpt
JQC,Nuveen Credit Strategies Income Fund,7.77,$1.05B,2003,n/a,n/a,https://www.nasdaq.com/symbol/jqc
JRI,Nuveen Real Asset Income and Growth Fund,15.5,$428.3M,2012,n/a,n/a,https://www.nasdaq.com/symbol/jri
JRO,Nuveen Floating Rate Income Opportuntiy Fund,9.79,$397.09M,2004,n/a,n/a,https://www.nasdaq.com/symbol/jro
JRS,Nuveen Real Estate Fund,10.23,$295.57M,2001,n/a,n/a,https://www.nasdaq.com/symbol/jrs
JSD,Nuveen Short Duration Credit Opportunities Fund,15.49,$156.38M,2011,n/a,n/a,https://www.nasdaq.com/symbol/jsd
JT,Jianpu Technology Inc.,6.46,$1.09B,2017,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/jt
JTA,Nuveen Tax-Advantaged Total Return Strategy Fund,11.45,$158.59M,2004,n/a,n/a,https://www.nasdaq.com/symbol/jta
JTD,Nuveen Tax-Advantaged Dividend Growth Fund,15.54,$225.09M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/jtd
JW.A,"John Wiley & Sons, Inc.",n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/jw.a
JW.B,"John Wiley & Sons, Inc.",n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/jw.b
JWN,"Nordstrom, Inc.",46.11,$7.72B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/jwn
K,Kellogg Company,59.16,$20.53B,n/a,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/k
KAI,Kadant Inc,87.83,$975.55M,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/kai
KAMN,Kaman Corporation,58.75,$1.64B,n/a,Consumer Durables,Industrial Specialties,https://www.nasdaq.com/symbol/kamn
KAR,"KAR Auction Services, Inc",52.98,$7.13B,2009,Consumer Durables,Automotive Aftermarket,https://www.nasdaq.com/symbol/kar
KB,KB Financial Group Inc,43.47,$17.22B,n/a,Finance,Commercial Banks,https://www.nasdaq.com/symbol/kb
KBH,KB Home,21.23,$1.85B,1986,Capital Goods,Homebuilding,https://www.nasdaq.com/symbol/kbh
KBR,"KBR, Inc.",17.8,$2.51B,2006,Basic Industries,Military/Government/Technical,https://www.nasdaq.com/symbol/kbr
KDMN,"Kadmon Holdings, Inc.",2.27,$256.81M,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/kdmn
KDP,Keurig Dr Pepper Inc.,27.12,$38.67B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/kdp
KEG,"Key Energy Services, Inc.",2.15,$43.64M,2016,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/keg
KEM,Kemet Corporation,18.48,$1.07B,n/a,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/kem
KEN,Kenon Holdings Ltd.,18.15,$976.96M,2015,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/ken
KEP,Korea Electric Power Corporation,15.16,$19.46B,1994,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/kep
KEX,Kirby Corporation,75.05,$4.49B,n/a,Consumer Services,Marine Transportation,https://www.nasdaq.com/symbol/kex
KEY,KeyCorp,16.49,$16.81B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/key
KEY^I,KeyCorp,27.35,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/key^i
KEY^J,KeyCorp,24.275,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/key^j
KEYS,Keysight Technologies Inc.,77.05,$14.46B,2014,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/keys
KF,"Korea Fund, Inc. (The)",31.4,$168.4M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/kf
KFS,"Kingsway Financial Services, Inc.",2.4,$53.71M,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/kfs
KFY,Korn Ferry ,46.06,$2.61B,1999,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/kfy
KGC,Kinross Gold Corporation,3.38,$4.23B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/kgc
KIM,Kimco Realty Corporation,17.38,$7.32B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/kim
KIM^I,Kimco Realty Corporation,24.8,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/kim^i
KIM^J,Kimco Realty Corporation,22.4,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/kim^j
KIM^K,Kimco Realty Corporation,23.13,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/kim^k
KIM^L,Kimco Realty Corporation,21.43,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/kim^l
KIM^M,Kimco Realty Corporation,21.96,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/kim^m
KIO,KKR Income Opportunities Fund,15.26,$310.39M,2013,n/a,n/a,https://www.nasdaq.com/symbol/kio
KKR,KKR & Co. Inc.,23.24,$19.42B,n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/kkr
KKR^A,KKR & Co. Inc.,26.98,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/kkr^a
KKR^B,KKR & Co. Inc.,26.6504,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/kkr^b
KL,Kirkland Lake Gold Ltd.,33.12,$6.95B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/kl
KMB,Kimberly-Clark Corporation,114.16,$39.39B,n/a,Consumer Durables,Containers/Packaging,https://www.nasdaq.com/symbol/kmb
KMF,"Kayne Anderson Midstream Energy Fund, Inc",11.39,$556.73M,2010,n/a,n/a,https://www.nasdaq.com/symbol/kmf
KMI,"Kinder Morgan, Inc.",18.06,$39.86B,2011,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/kmi
KMPA,Kemper Corporation,25.66,n/a,2014,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/kmpa
KMPR,Kemper Corporation,75.93,$4.92B,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/kmpr
KMT,Kennametal Inc.,37.35,$3.07B,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/kmt
KMX,CarMax Inc,60.99,$10.37B,n/a,Consumer Durables,Automotive Aftermarket,https://www.nasdaq.com/symbol/kmx
KN,Knowles Corporation,15.79,$1.42B,2014,Consumer Non-Durables,Consumer Electronics/Appliances,https://www.nasdaq.com/symbol/kn
KNL,"Knoll, Inc.",20.4,$1.01B,2004,Consumer Durables,Office Equipment/Supplies/Services,https://www.nasdaq.com/symbol/knl
KNOP,KNOT Offshore Partners LP,18.77,$613.67M,2013,Consumer Services,Marine Transportation,https://www.nasdaq.com/symbol/knop
KNX,"Knight Transportation, Inc.",31.47,$5.49B,2017,Transportation,Trucking Freight/Courier Services,https://www.nasdaq.com/symbol/knx
KO,Coca-Cola Company (The),49.26,$209.68B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/ko
KODK,Eastman Kodak Company,2.85,$121.77M,n/a,Miscellaneous,Industrial Machinery/Components,https://www.nasdaq.com/symbol/kodk
KOF,Coca Cola Femsa S.A.B. de C.V.,63.63,$13.37B,1993,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/kof
KOP,Koppers Holdings Inc.,22.58,$463.08M,2006,Basic Industries,Forest Products,https://www.nasdaq.com/symbol/kop
KOS,Kosmos Energy Ltd.,5.24,$2.27B,2011,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/kos
KR,Kroger Company (The),28.29,$22.57B,n/a,Consumer Services,Food Chains,https://www.nasdaq.com/symbol/kr
KRA,Kraton Corporation,28.85,$921.96M,2009,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/kra
KRC,Kilroy Realty Corporation,71.4,$7.19B,1997,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/krc
KREF,KKR Real Estate Finance Trust Inc.,20.29,$1.19B,2017,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/kref
KRG,Kite Realty Group Trust,16.67,$1.4B,2004,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/krg
KRO,Kronos Worldwide Inc,13.76,$1.59B,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/kro
KRP,Kimbell Royalty Partners,16.1,$487.66M,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/krp
KSM,Scudder Strategic Municiple Income Trust,10.98,$123.02M,1989,n/a,n/a,https://www.nasdaq.com/symbol/ksm
KSS,Kohl&#39;s Corporation,66.82,$11.03B,1992,Consumer Services,Department/Specialty Retail Stores,https://www.nasdaq.com/symbol/kss
KSU,Kansas City Southern,103.37,$10.43B,n/a,Transportation,Railroads,https://www.nasdaq.com/symbol/ksu
KSU^,Kansas City Southern,26.8894,n/a,n/a,Transportation,Railroads,https://www.nasdaq.com/symbol/ksu^
KT,KT Corporation,13.65,$6.69B,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/kt
KTF,Scudder Municiple Income Trust,10.93,$431.75M,1988,n/a,n/a,https://www.nasdaq.com/symbol/ktf
KTH,Lehman ABS Corporation,29.79,n/a,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/kth
KTN,Lehman ABS Corporation,29.975,n/a,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/ktn
KTP,Lehman ABS Corporation,8.5408,n/a,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/ktp
KW,Kennedy-Wilson Holdings Inc.,20.27,$2.92B,n/a,Finance,Real Estate,https://www.nasdaq.com/symbol/kw
KWR,Quaker Chemical Corporation,203.31,$2.71B,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/kwr
KYN,Kayne Anderson MLP/Midstream Investment Company,15.82,$1.99B,2004,n/a,n/a,https://www.nasdaq.com/symbol/kyn
KYN^F,Kayne Anderson MLP/Midstream Investment Company,25.0525,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/kyn^f
L,Loews Corporation,48.02,$15.09B,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/l
LAC,Lithium Americas Corp.,3.12,$276.65M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/lac
LAD,"Lithia Motors, Inc.",87.76,$2.06B,n/a,Consumer Durables,Automotive Aftermarket,https://www.nasdaq.com/symbol/lad
LADR,Ladder Capital Corp,17.46,$2.04B,2014,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/ladr
LAIX,LAIX Inc.,12.48,$598.44M,2018,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/laix
LAZ,Lazard Ltd.,38.84,$4.59B,2005,Finance,Investment Managers,https://www.nasdaq.com/symbol/laz
LB,"L Brands, Inc.",27.13,$7.46B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/lb
LBRT,Liberty Oilfield Services Inc.,16.09,$1.86B,2018,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/lbrt
LC,LendingClub Corporation,3.43,$1.46B,2014,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/lc
LCI,Lannett Co Inc,8.52,$334.57M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/lci
LCII,LCI Industries ,77.99,$1.97B,n/a,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/lcii
LDL,"Lydall, Inc.",27.12,$472.09M,n/a,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/ldl
LDOS,"Leidos Holdings, Inc.",61.46,$9.2B,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/ldos
LDP,"Cohen & Steers Limited Duration Preferred and Income Fund, Inc",23.66,$682.47M,2012,n/a,n/a,https://www.nasdaq.com/symbol/ldp
LEA,Lear Corporation,155.01,$9.95B,n/a,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/lea
LEAF,Leaf Group Ltd.,8.23,$208.34M,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/leaf
LEE,"Lee Enterprises, Incorporated",2.67,$154.03M,n/a,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/lee
LEG,"Leggett & Platt, Incorporated",44.11,$5.75B,n/a,Consumer Durables,Home Furnishings,https://www.nasdaq.com/symbol/leg
LEJU,Leju Holdings Limited,1.65,$224.01M,2014,Finance,Real Estate,https://www.nasdaq.com/symbol/leju
LEN,Lennar Corporation,46.08,$14.94B,n/a,Basic Industries,Homebuilding,https://www.nasdaq.com/symbol/len
LEN.B,Lennar Corporation,n/a,n/a,n/a,Basic Industries,Homebuilding,https://www.nasdaq.com/symbol/len.b
LEO,"Dreyfus Strategic Municipals, Inc.",7.61,$471.74M,1987,n/a,n/a,https://www.nasdaq.com/symbol/leo
LFC,China Life Insurance Company Limited,12.3,$69.53B,2003,Finance,Life Insurance,https://www.nasdaq.com/symbol/lfc
LGC,Legacy Acquisition Corp.,10,$375M,2017,Finance,Business Services,https://www.nasdaq.com/symbol/lgc
LGC.U,Legacy Acquisition Corp.,n/a,n/a,2017,n/a,n/a,https://www.nasdaq.com/symbol/lgc.u
LGC.WS,Legacy Acquisition Corp.,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/lgc.ws
LGF.A,Lions Gate Entertainment Corporation,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/lgf.a
LGF.B,Lions Gate Entertainment Corporation,n/a,n/a,2016,n/a,n/a,https://www.nasdaq.com/symbol/lgf.b
LGI,Lazard Global Total Return and Income Fund,14.76,$141.77M,2004,n/a,n/a,https://www.nasdaq.com/symbol/lgi
LH,Laboratory Corporation of America Holdings,141.24,$14.25B,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/lh
LHC,Leo Holdings Corp.,9.92,$248M,2018,Finance,Business Services,https://www.nasdaq.com/symbol/lhc
LHC.U,Leo Holdings Corp.,n/a,n/a,2018,n/a,n/a,https://www.nasdaq.com/symbol/lhc.u
LHC.WS,Leo Holdings Corp.,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/lhc.ws
LII,"Lennox International, Inc.",234.99,$9.47B,1999,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/lii
LIN,Linde plc,163.42,$91.21B,2018,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/lin
LITB,"LightInTheBox Holding Co., Ltd.",0.75,$50.85M,2013,Consumer Services,Catalog/Specialty Distribution,https://www.nasdaq.com/symbol/litb
LKSD,"LSC Communications, Inc.",8.22,$311.34M,2016,Miscellaneous,Publishing,https://www.nasdaq.com/symbol/lksd
LL,"Lumber Liquidators Holdings, Inc",11.65,$333.43M,2007,Consumer Services,RETAIL: Building Materials,https://www.nasdaq.com/symbol/ll
LLL,"L3 Technologies, Inc.",202.73,$15.95B,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/lll
LLY,Eli Lilly and Company,119.27,$126.35B,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/lly
LM,"Legg Mason, Inc.",29.87,$2.55B,n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/lm
LMHA,"Legg Mason, Inc.",26.49,n/a,2016,Finance,Investment Managers,https://www.nasdaq.com/symbol/lmha
LMHB,"Legg Mason, Inc.",24.18,n/a,2016,Finance,Investment Managers,https://www.nasdaq.com/symbol/lmhb
LMT,Lockheed Martin Corporation,299.83,$85.28B,n/a,Capital Goods,Military/Government/Technical,https://www.nasdaq.com/symbol/lmt
LN,LINE Corporation,36.95,$8.81B,2016,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/ln
LNC,Lincoln National Corporation,58.96,$12.59B,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/lnc
LNC.WS,Lincoln National Corporation,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/lnc.ws
LND,Brasilagro Cia Brasileira De Propriedades Agricolas,4.33,$232.96M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/lnd
LNN,Lindsay Corporation,86.58,$933.88M,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/lnn
LOMA,Loma Negra Compania Industrial Argentina Sociedad Anonima,12.49,$1.49B,2017,Capital Goods,Building Materials,https://www.nasdaq.com/symbol/loma
LOR,"Lazard World Dividend & Income Fund, Inc.",9.72,$66.88M,2005,n/a,n/a,https://www.nasdaq.com/symbol/lor
LOW,"Lowe&#39;s Companies, Inc.",97.19,$78.04B,n/a,Consumer Services,RETAIL: Building Materials,https://www.nasdaq.com/symbol/low
LPG,Dorian LPG Ltd.,5.57,$307.28M,2014,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/lpg
LPI,"Laredo Petroleum, Inc.",3.77,$881.74M,2011,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/lpi
LPL,"LG Display Co., Ltd.",8.6,$6.15B,2004,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/lpl
LPT,Liberty Property Trust,47.07,$6.96B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/lpt
LPX,Louisiana-Pacific Corporation,23.99,$3.39B,n/a,Basic Industries,Forest Products,https://www.nasdaq.com/symbol/lpx
LRN,K12 Inc,31.14,$1.25B,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/lrn
LSI,"Life Storage, Inc.",99.28,$4.63B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/lsi
LTC,"LTC Properties, Inc.",46.48,$1.84B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/ltc
LTHM,Livent Corporation,12.84,$1.87B,2018,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/lthm
LTM,LATAM Airlines Group S.A.,11.79,$7.15B,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/ltm
LTN,Union Acquisition Corp.,10.0852,$144.97M,2018,Finance,Business Services,https://www.nasdaq.com/symbol/ltn
LTN.U,Union Acquisition Corp.,n/a,n/a,2018,n/a,n/a,https://www.nasdaq.com/symbol/ltn.u
LTN.WS,Union Acquisition Corp.,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ltn.ws
LTN~,Union Acquisition Corp.,0.52,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ltn~
LUB,"Luby&#39;s, Inc.",1.53,$45.54M,n/a,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/lub
LUV,Southwest Airlines Company,57.61,$32.39B,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/luv
LVS,Las Vegas Sands Corp.,60.86,$47.69B,2004,Consumer Services,Hotels/Resorts,https://www.nasdaq.com/symbol/lvs
LW,"Lamb Weston Holdings, Inc.",71.31,$10.45B,2016,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/lw
LXFR,Luxfer Holdings PLC,19.5,$516.84M,2012,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/lxfr
LXFT,"Luxoft Holding, Inc.",58.27,$1.98B,2013,Technology,EDP Services,https://www.nasdaq.com/symbol/lxft
LXP,Lexington Realty Trust,9.35,$2.21B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/lxp
LXP^C,Lexington Realty Trust,50.74,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/lxp^c
LXU,Lsb Industries Inc.,7.34,$210.06M,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/lxu
LYB,LyondellBasell Industries NV,87.2,$32.79B,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/lyb
LYG,Lloyds Banking Group Plc,3,$53.38B,n/a,Finance,Commercial Banks,https://www.nasdaq.com/symbol/lyg
LYV,"Live Nation Entertainment, Inc.",53.15,$11.14B,n/a,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/lyv
LZB,La-Z-Boy Incorporated,29.85,$1.4B,n/a,Consumer Durables,Home Furnishings,https://www.nasdaq.com/symbol/lzb
M,Macy&#39;s Inc,25.37,$7.8B,n/a,Consumer Services,Department/Specialty Retail Stores,https://www.nasdaq.com/symbol/m
MA,Mastercard Incorporated,215.3,$238.74B,2006,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/ma
MAA,"Mid-America Apartment Communities, Inc.",102.68,$11.69B,1994,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/maa
MAA^I,"Mid-America Apartment Communities, Inc.",62.8614,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/maa^i
MAC,Macerich Company (The),44.87,$6.33B,1994,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/mac
MAIN,Main Street Capital Corporation,37.27,$2.27B,2007,n/a,n/a,https://www.nasdaq.com/symbol/main
MAN,ManpowerGroup,80.44,$4.97B,n/a,Technology,Professional Services,https://www.nasdaq.com/symbol/man
MANU,Manchester United Ltd.,19.34,$3.18B,2012,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/manu
MAS,Masco Corporation,33.25,$10.16B,n/a,Basic Industries,Forest Products,https://www.nasdaq.com/symbol/mas
MATX,"Matson, Inc.",33.1,$1.41B,n/a,Consumer Services,Marine Transportation,https://www.nasdaq.com/symbol/matx
MAV,Pioneer Municipal High Income Advantage Trust,10.54,$251.9M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/mav
MAXR,Maxar Technologies Inc.,6.06,$359.85M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/maxr
MBI,"MBIA, Inc.",9.8,$888.76M,1987,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/mbi
MBT,Mobile TeleSystems OJSC,8.4,$7.92B,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/mbt
MC,Moelis & Company,44.17,$2.02B,2014,Finance,Investment Managers,https://www.nasdaq.com/symbol/mc
MCA,"Blackrock MuniYield California Insured Fund, Inc.",13.05,$448.99M,1992,n/a,n/a,https://www.nasdaq.com/symbol/mca
MCB,Metropolitan Bank Holding Corp.,36.1,$296.28M,2017,Finance,Major Banks,https://www.nasdaq.com/symbol/mcb
MCC,Medley Capital Corporation,3.39,$184.67M,2011,n/a,n/a,https://www.nasdaq.com/symbol/mcc
MCD,McDonald&#39;s Corporation,176.18,$135.82B,n/a,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/mcd
MCI,Barings Corporate Investors,15.35,$307.17M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/mci
MCK,McKesson Corporation,132.62,$25.44B,n/a,Health Care,Other Pharmaceuticals,https://www.nasdaq.com/symbol/mck
MCN,Madison Covered Call & Equity Strategy Fund,6.77,$141.81M,2004,n/a,n/a,https://www.nasdaq.com/symbol/mcn
MCO,Moody&#39;s Corporation,161.7,$30.98B,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/mco
MCR,MFS Charter Income Trust,7.76,$373.86M,1989,n/a,n/a,https://www.nasdaq.com/symbol/mcr
MCRN,Milacron Holdings Corp.,14.36,$1.02B,2015,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/mcrn
MCS,Marcus Corporation (The),39,$1.1B,n/a,Consumer Services,Movies/Entertainment,https://www.nasdaq.com/symbol/mcs
MCV,Medley Capital Corporation,24.63,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/mcv
MCX,Medley Capital Corporation,25.26,n/a,2015,n/a,n/a,https://www.nasdaq.com/symbol/mcx
MCY,Mercury General Corporation,52.98,$2.93B,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/mcy
MD,"Mednax, Inc",36.64,$3.28B,n/a,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/md
MDC,"M.D.C. Holdings, Inc.",31.17,$1.76B,n/a,Capital Goods,Homebuilding,https://www.nasdaq.com/symbol/mdc
MDLQ,Medley LLC,21,n/a,2017,Finance,Investment Managers,https://www.nasdaq.com/symbol/mdlq
MDLX,Medley LLC,19.05,n/a,2016,Finance,Investment Managers,https://www.nasdaq.com/symbol/mdlx
MDLY,Medley Management Inc.,3.86,$117.09M,2014,Finance,Investment Managers,https://www.nasdaq.com/symbol/mdly
MDP,Meredith Corporation,53.91,$2.43B,n/a,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/mdp
MDR,"McDermott International, Inc.",9.31,$1.68B,n/a,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/mdr
MDT,Medtronic plc,88.86,$119.34B,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/mdt
MDU,"MDU Resources Group, Inc.",25.24,$4.95B,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/mdu
MED,MEDIFAST INC,127.26,$1.52B,n/a,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/med
